States / Union Territories,All Categories - Classes I-V,All Categories - Classes VI-VIII,All Categories - Classes I-VIII,All Categories - Classes IX-X,All Categories - Classes I-X,All Categories - Classes XI-XII,All Categories - Classes IX-XII,All Categories - Classes I-XII
Andhra Pradesh,96,97,96,97,96,86,92,95
Arunachal Pradesh,93,94,93,87,92,86,87,92
Assam,100,100,100,87,98,76,84,97
Bihar,85,83,84,73,83,67,71,83
Chhattisgarh,93,92,92,90,92,79,86,91
Goa,91,89,90,92,90,100,95,91
Gujarat,87,81,85,71,83,75,72,83
Haryana,89,88,89,89,89,82,86,88
Himachal Pradesh,91,88,90,90,90,91,91,90
Jammu and Kashmir,92,88,91,86,90,88,87,90
Jharkhand,97,96,97,87,96,84,86,96
Karnataka,93,93,93,93,93,99,95,94
Kerala,96,93,95,97,95,111,102,97
Madhya Pradesh,97,98,97,62,92,64,63,90
Maharashtra,89,88,89,87,88,76,82,87
Manipur,94,91,93,95,93,85,92,93
Meghalaya,100,112,103,102,103,123,107,103
Mizoram,92,93,92,102,93,99,101,94
Nagaland,93,96,94,99,94,85,93,94
Odisha,95,93,94,90,93,79,86,93
Punjab,82,80,81,85,82,84,85,82
Rajasthan,88,74,83,63,80,57,61,78
Sikkim,98,119,103,115,105,109,113,105
Tamil Nadu,95,94,94,97,95,118,105,97
Tripura,96,97,96,97,96,73,90,95
Uttar Pradesh,93,84,91,74,88,69,72,87
Uttarakhand,93,97,95,88,93,90,88,93
West Bengal,99,102,100,99,100,86,94,99
Andaman and Nicobar Islands,95,94,95,90,94,98,93,94
Chandigarh,86,81,84,84,84,84,84,84
Dadra and Nagar Haveli,92,84,89,72,87,70,71,86
Daman and Diu,87,88,88,88,88,86,87,88
Delhi,88,85,87,86,87,88,87,87
Lakshadweep,95,115,102,102,102,107,104,103
Puducherry,96,93,95,97,95,118,105,97
INDIA,92,89,91,82,90,79,81,89
